Generated by Angry IP Scanner 3.8.2
https://angryip.org

Scanned 192.168.0.0 - 192.168.15.255
Oct 6, 2022, 2:32:19 PM

IP              Ping            Hostname                Ports           
192.168.0.102   5 ms            admin-PC                [n/a]           
192.168.8.122   4 ms            admin-PC                [n/a]           
192.168.0.60    8 ms            BACKUP-XN2605           [n/a]           
192.168.8.19    5 ms            capcuu                  [n/a]           
192.168.9.96    61 ms           capcuu                  [n/a]           
192.168.7.198   7 ms            desktop-623l4ij????     [n/a]           
192.168.8.25    4 ms            DEV2EED8D.local         80,443,8080     
192.168.0.75    6 ms            DieuDuong               [n/a]           
192.168.15.11   4 ms            FileServer              [n/a]           
192.168.8.85    418 ms          LAPTOP-8G33DQP4         [n/a]           
192.168.8.112   4 ms            Mayloangxuong           [n/a]           
192.168.8.21    5 ms            NhaThuoc                [n/a]           
192.168.9.204   8 ms            NPI47D3D3               80,443,8080     
192.168.5.43    5 ms            NPIA45687               80,443,8080     
192.168.0.63    5 ms            PBZBUFXOHZGDTTI         [n/a]           
192.168.8.130   4 ms            PHONGHOSO               [n/a]           
192.168.0.140   4 ms            PHONGKHAM3              [n/a]           
192.168.0.94    6 ms            PhongNoi                [n/a]           
192.168.8.110   4 ms            PhongNoi2               [n/a]           
192.168.0.83    3 ms            PHONGNOISOI             [n/a]           
192.168.0.2     8 ms            PhongSan                [n/a]           
192.168.0.61    7 ms            SERVERXN-PC             [n/a]           
192.168.0.87    6 ms            SIEUAM1                 [n/a]           
192.168.0.103   5 ms            SIEUAM2                 [n/a]           
192.168.0.8     5 ms            SONGAN                  80,8080         
192.168.8.120   4 ms            SONGAN                  80,8080         
192.168.8.109   4 ms            ThuNgan                 [n/a]           
192.168.9.149   50 ms           ThuNgan                 [n/a]           
192.168.9.170   4 ms            THUNGAN1                [n/a]           
192.168.8.111   4 ms            TIEPTAN                 [n/a]           
192.168.9.172   1 ms            TIEPTAN-NEW.songanhealthcare.vn[n/a]           
192.168.8.116   4 ms            TIEPTAN1                [n/a]           
192.168.7.197   76 ms           TiepTan3                [n/a]           
192.168.8.117   4 ms            TiepTan3                [n/a]           
192.168.0.9     6 ms            WIN-MAGS330C2JC         [n/a]           
192.168.15.12   4 ms            WIN-MM5EMGMR78A         [n/a]           
